
AAM00066;10.144.118.10;NCR         
AAM00067;10.144.140.9;NCR         
AAM00068;10.144.18.9;NCR         
AAM00069;10.144.18.10;NCR         
AAM00070;10.144.2.8;NCR         
AAM00071;10.144.155.10;NCR         
AAM00072;10.144.140.10;NCR         
AAM00073;10.144.51.10;NCR         
AAM00074;10.144.82.7;NCR         
AAM00075;10.144.20.10;NCR         
AAM00076;10.144.150.10;NCR         
AAM00077;10.144.104.10;NCR         
AAM00078;10.144.72.7;NCR         
AAM00079;10.33.211.9;NCR         
AAM00080;10.34.26.8;NCR         
AAM00081;10.144.103.10;NCR         
AAM00082;10.144.53.11;NCR         
AAM00083;10.33.212.10;NCR         
AAM00084;10.144.82.10;NCR         
AAM00085;10.144.128.10;NCR         
AAM00086;10.144.117.10;NCR         
AAM00087;10.34.189.10;NCR         
AAM00088;10.34.189.9;NCR         
AAM00089;10.33.212.11;NCR         
AAM00090;10.33.212.12;NCR         
AAM00091;10.144.0.10;NCR         
AAR00001;10.32.47.9;NCR         
AAR00002;10.32.47.33;NCR         
AAR00003;10.32.47.4;NCR         
AAR00004;10.32.47.5;DIEBOLD     
AAR00005;10.32.8.14;NCR         
AAR00006;10.32.8.9;NCR         
AAR00007;10.32.8.10;DIBOLD      
AAR00008;10.32.8.5;DIBOLD      
AAR00009;10.32.7.39;NCR         
AAR00010;10.32.7.10;NCR         
AAR00011;10.32.7.11;NCR         
AAR00012;10.32.7.3;DIEBOLD     
AAR00014;10.208.0.50;NCR         
AAR00015;10.208.2.170;NCR         
AAR00016;10.32.36.7;NCR         
AAR00017;10.33.10.13;DIEBOLD     
AAR00018;10.33.10.12;DIEBOLD     
AAR00020;10.33.10.7;NCR         
AAR00021;10.32.73.9;NCR         
AAR00023;10.32.73.11;DIEBOLD     
AAR00024;10.32.73.7;NCR         
AAR00025;10.32.224.4;NCR         
AAR00027;10.32.224.10;NCR         
AAR00028;10.32.224.16;DIEBOLD     
AAR00029;10.1.20.9;DIBOLD      
AAR00030;10.1.35.135;NCR         
AAR00032;10.1.20.11;NCR         
AAR00033;10.33.74.9;DIEBOLD     
AAR00034;10.33.74.8;DIEBOLD     
AAR00035;10.32.74.9;NCR         
AAR00036;10.32.28.9;NCR         
AAR00037;10.32.28.10;NCR         
AAR00038;10.32.76.9;NCR         
AAR00039;10.33.95.9;NCR         
AAR00040;10.208.4.26;NCR         
AAR00041;10.33.95.10;NCR         
AAR00042;10.32.25.11;NCR         
AAR00043;10.32.25.10;NCR         
AAR00044;10.208.0.242;NCR         
AAR00045;10.208.24.98;NCR         
AAR00046;10.208.0.171;NCR         
AAR00047;10.208.0.42;NCR         
AAR00048;10.208.1.10;NCR         
AAR00049;10.208.0.172;NCR         
AAR00050;10.208.4.170;NCR         
AAR00051;10.208.0.178;NCR         
AAR00052;10.208.5.50;NCR         
AAR00053;10.208.0.170;NCR         
AAR00055;10.208.26.10;NCR         
AAR00056;10.208.26.18;NCR         
AAR00057;10.208.26.42;NCR         
AAR00058;10.208.26.50;NCR         
AAR00059;10.208.26.58;NCR         
AAR00060;10.32.7.2;NCR         
AAR00061;10.32.7.7;NCR         
AAR00062;10.32.47.7;DIEBOLD     
AAR00063;10.208.27.10;NCR         
AAR00064;10.32.73.14;DIEBOLD     
AAR00065;10.208.26.202;NCR         
AAR00067;10.32.170.9;NCR         
AAR00068;10.208.2.18;NCR         
AAR00069;10.33.76.7;DIBOLD      
AAR00070;10.32.33.10;NCR         
AAR00071;10.208.2.250;NCR         
AAR00072;10.32.69.18;NCR         
AAR00073;10.32.69.7;DIEBOLD     
AAR00074;10.32.136.119;NCR         
AAR00075;10.208.4.18;NCR         
AAR00076;10.33.195.7;DIEBOLD     
AAR00077;10.33.195.9;NCR         
AAR00078;10.33.35.7;NCR         
AAR00079;10.208.24.106;NCR         
AAR00080;10.33.100.7;DIEBOLD     
AAR00081;10.33.100.10;DIEBOLD     
AAR00082;10.32.72.9;NCR         
AAR00083;10.208.19.138;NCR         
AAR00084;10.32.72.6;NCR         
AAR00086;10.33.239.11;NCR         
AAR00087;10.33.213.7;NCR         
AAR00088;10.33.213.9;NCR         
AAR00089;10.33.248.7;NCR         
AAR00090;10.33.248.9;NCR         
AAR00091;10.33.77.10;NCR         
AAR00092;10.208.1.50;NCR         
AAR00093;10.34.81.7;NCR         
AAR00094;10.34.41.7;NCR         
AAR00095;10.34.41.8;NCR         
AAR00096;10.34.85.7;NCR         
AAR00097;10.34.115.7;NCR         
AAR00098;10.33.151.7;NCR         
AAR00099;10.33.32.9;NCR         
AAR00100;10.33.208.9;NCR         
AAR00101;10.32.65.9;NCR         
AAR00102;10.32.65.7;NCR         
AAR00103;10.33.34.9;NCR         
AAR00104;10.33.34.7;DIEBOLD     
AAR00105;10.208.27.123;NCR         
AAR00106;10.208.27.130;NCR         
AAR00107;10.208.27.138;NCR         
AAR00108;10.208.27.146;NCR         
AAR00109;10.33.182.7;NCR         
AAR00110;10.34.16.7;NCR         
AAR00111;10.33.39.7;NCR         
AAR00112;10.33.39.8;NCR         
AAR00113;10.48.43.9;NCR         
AAR00114;10.33.222.7;NCR         
AAR00115;10.32.111.9;NCR         
AAR00116;10.32.111.17;NCR         
AAR00117;10.33.40.7;NCR         
AAR00118;10.33.14.7;NCR         
AAR00119;10.34.52.7;NCR         
AAR00120;10.33.21.7;NCR         
AAR00121;10.32.120.9;NCR         
AAR00122;10.32.120.7;NCR         
AAR00123;10.33.161.7;NCR         
AAR00124;10.48.44.9;NCR         
AAR00125;10.33.142.7;NCR         
AAR00126;10.48.9.9;NCR         
AAR00128;10.211.9.10;NCR         
AAR00129;10.48.9.7;NCR         
AAR00130;10.208.26.163;NCR         
AAR00131;10.48.26.10;NCR         
AAR00132;10.48.26.7;NCR         
AAR00133;10.48.26.8;NCR         
AAR00134;10.33.20.7;NCR         
AAR00135;10.48.193.8;NCR         
AAR00136;10.32.141.7;NCR         
AAR00137;10.32.122.9;NCR         
AAR00138;10.32.122.7;NCR         
AAR00139;10.32.121.9;NCR         
AAR00140;10.208.27.235;NCR         
AAR00141;10.33.3.7;NCR         
AAR00142;10.208.1.2;NCR         
AAR00143;10.208.28.58;NCR         
AAR00144;10.208.28.66;NCR         
AAR00147;10.208.28.154;NCR         
AAR00148;10.208.28.146;NCR         
AAR00149;10.33.10.9;NCR         
AAR00150;10.33.187.9;NCR         
AAR00151;10.32.72.7;NCR         
AAR00152;10.208.28.242;NCR         
AAR00153;10.32.224.9;NCR         
AAS00001;10.112.3.10;NCR         
AAS00002;10.112.3.99;NCR         
AAS00003;10.112.3.15;NCR         
AAS00004;10.112.3.9;NCR         
AAS00005;10.208.11.58;NCR         
AAS00006;10.112.3.11;NCR         
AAS00007;10.96.89.9;NCR         
AAS00008;10.96.89.10;NCR         
AAS00009;10.96.20.10;NCR         
AAS00010;10.96.20.11;NCR         
AAS00011;10.96.41.9;NCR         
AAS00012;10.96.111.9;NCR         
AAS00013;10.96.62.9;NCR         
AAS00014;10.112.204.9;NCR         
AAS00015;10.112.204.10;NCR         
AAS00016;10.96.101.9;NCR         
AAS00017;10.96.110.9;NCR         
AAS00018;10.112.72.9;NCR         
AAS00019;10.112.78.9;NCR         
AAS00020;10.96.104.10;NCR         
AAS00021;10.96.48.9;NCR         
AAS00022;10.96.90.9;NCR         
AAS00023;10.112.71.9;NCR         
AAS00024;10.112.71.10;NCR         
AAS00025;10.96.114.9;NCR         
AAS00026;10.112.82.9;NCR         
AAS00027;10.112.82.10;NCR         
AAS00028;10.96.47.9;NCR         
AAS00029;10.96.92.99;NCR         
AAS00030;10.96.22.9;NCR         
AAS00031;10.96.22.10;NCR         
AAS00032;10.96.95.9;NCR         
AAS00033;10.96.115.9;NCR         
AAS00034;10.96.65.9;NCR         
AAS00035;10.96.21.9;NCR         
AAS00036;10.96.77.9;NCR         
AAS00037;10.96.46.9;NCR         
AAS00038;10.96.45.9;NCR         
AAS00039;10.96.107.9;NCR         
AAS00040;10.96.29.9;NCR         
AAS00041;10.96.99.9;NCR         
AAS00042;10.96.5.9;NCR         
AAS00043;10.96.5.10;NCR         
AAS00044;10.112.77.9;NCR         
AAS00045;10.96.39.9;
AAS00046;10.96.108.9;NCR         
AAS00047;10.96.28.9;
AAS00048;10.112.73.99;NCR         
AAS00050;10.96.6.10;NCR         
AAS00051;10.96.30.9;NCR         
AAS00052;10.96.106.9;NCR         
AAS00053;10.96.61.10;NCR         
AAS00054;10.96.91.9;NCR         
AAS00055;10.96.93.9;NCR         
AAS00056;10.112.47.9;NCR         
AAS00057;10.112.47.10;NCR         
AAS00058;10.112.148.9;NCR         
AAS00059;10.96.83.9;NCR         
AAS00060;10.96.133.9;NCR         
AAS00061;10.96.44.9;NCR         
ABD00003;10.160.96.9;NCR         
ABD00006;10.208.20.114;NCR         
ABD00007;10.160.16.8;NCR         
ABD00008;10.160.16.10;NCR         
ABD00011;10.160.1.10;NCR         
ABD00015;10.160.95.9;NCR         
ABD00017;10.160.74.8;NCR         
ABD00021;10.160.0.10;NCR         
ABD00022;10.208.20.130;NCR         
ABD00023;10.160.43.9;NCR         
ABD00024;10.160.45.9;NCR         
ABD00025;10.208.20.146;NCR         
ABD00029;10.160.71.9;NCR         
ABD00032;10.208.21.58;NCR         
ABD00034;10.208.21.19;NCR         
ABD00035;10.208.20.250;NCR         
ABD00037;10.160.88.7;NCR         
ABD00040;10.160.11.8;NCR         
ABD00041;10.160.52.9;NCR         
ABD00042;10.160.81.9;NCR         
ABD00043;10.160.97.8;NCR         
ABD00044;10.208.21.67;NCR         
ABD00045;10.160.0.9;NCR         
ABD00046;10.208.20.3;NCR         
ABD00048;10.160.0.8;NCR         
ABD00049;10.160.1.9;NCR         
ABD00051;10.208.20.11;NCR         
ABD00052;10.160.15.9;NCR         
ABD00053;10.208.20.27;NCR         
ABD00056;10.208.20.35;NCR         
ABD00057;10.160.12.9;NCR         
ABD00058;10.160.0.13;NCR         
ABD00059;10.160.41.9;NCR         
ABD00060;10.160.30.9;NCR         
ABD00062;10.160.51.9;NCR         
ABD00063;10.160.35.9;NCR         
ABD00065;10.160.23.9;NCR         
ABD00067;10.160.20.9;NCR         
ABD00069;10.160.29.9;NCR         
ABD00070;10.160.86.9;NCR         
ABD00072;10.160.77.9;NCR         
ABD00074;10.160.4.9;NCR         
ABD00076;10.160.24.9;NCR         
ABD00077;10.160.19.9;NCR         
ABD00081;10.160.7.9;NCR         
ABD00083;10.160.0.12;NCR         
ABD00089;10.160.2.8;NCR         
ABD00090;10.160.69.10;NCR         
ABD00091;10.160.51.8;NCR         
ABD00093;10.160.1.8;NCR         
ABD00095;10.208.20.58;NCR         
ABD00097;10.160.0.15;NCR         
ABD00099;10.160.12.8;NCR         
ABD00100;10.160.33.9;NCR         
ABD00102;10.160.98.9;NCR         
ABD00103;10.160.92.9;NCR         
ABD00105;10.160.97.9;NCR         
ABD00106;10.160.93.9;NCR         
